osm_key,osm_type,osm_id,name,latitude,longitude,amenity,cuisine,operator,brand,tags_json
node/293885033,node,293885033,Osīriss,56.9537589,24.1260107,cafe,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""31"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Krišjāņa Barona iela"", ""amenity"": ""cafe"", ""check_date"": ""2026-03-04"", ""name"": ""Osīriss"", ""opening_hours"": ""Mo-We 12:00-19:00; Th-Fr 12:00-22:00; Sa 15:00-22:00; Su closed"", ""ref:LV:addr"": ""101916601"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""limited""}"
node/335656684,node,335656684,Caffeine,56.9223862,23.9788537,cafe,,,,"{""addr:city"": ""Lidosta \""Rīga\"""", ""addr:country"": ""LV"", ""addr:district"": ""Mārupes novads"", ""addr:housename"": ""Lidosta \""Rīga\"" 10/1"", ""addr:postcode"": ""LV-1053"", ""addr:subdistrict"": ""Mārupes pagasts"", ""amenity"": ""cafe"", ""check_date"": ""2024-07-17"", ""indoor_seating"": ""yes"", ""level"": ""1"", ""name"": ""Caffeine"", ""outdoor_seating"": ""no"", ""payment:cash"": ""yes"", ""payment:contactless"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""104920380"", ""wheelchair"": ""yes""}"
node/382937760,node,382937760,Rozengrāls,56.9484815,24.1061513,restaurant,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Tirgoņu iela"", ""amenity"": ""restaurant"", ""name"": ""Rozengrāls"", ""opening_hours"": ""Mo-Su 12:00-24:00"", ""phone"": ""+371 25769877"", ""ref:LV:addr"": ""102007805"", ""website"": ""https://rozengrals.lv/"", ""wheelchair"": ""no""}"
node/389625270,node,389625270,Vanaga ligzda,57.0421171,24.3147905,restaurant,regional,,,"{""addr:city"": ""Baltezers"", ""addr:country"": ""LV"", ""addr:district"": ""Ādažu novads"", ""addr:housenumber"": ""69"", ""addr:postcode"": ""LV-2164"", ""addr:street"": ""Tallinas šoseja"", ""addr:subdistrict"": ""Ādažu pagasts"", ""amenity"": ""restaurant"", ""check_date"": ""2025-11-07"", ""cuisine"": ""regional"", ""email"": ""vanagaligzda@inbox.lv"", ""internet_access"": ""no"", ""name"": ""Vanaga ligzda"", ""opening_hours"": ""Su-Th 10:00-21:00; Fr-Sa 10:00-22:00"", ""phone"": ""+371-26955476"", ""ref:LV:addr"": ""103126506"", ""website"": ""https://www.vanagaligzda.lv/"", ""wheelchair"": ""no""}"
node/429230627,node,429230627,Delicio,56.9552913,24.1242923,restaurant,international,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""33/35"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Tērbatas iela"", ""amenity"": ""restaurant"", ""check_date"": ""2026-04-29"", ""cuisine"": ""international"", ""internet_access"": ""wlan"", ""name"": ""Delicio"", ""opening_hours"": ""Mo-Sa 11:00-18:00"", ""payment:american_express"": ""yes"", ""payment:cash"": ""yes"", ""payment:mastercard"": ""yes"", ""ref:LV:addr"": ""102005377"", ""smoking"": ""no"", ""wheelchair"": ""no""}"
node/429230628,node,429230628,Meat Chef,56.9557759,24.1253193,restaurant,meat,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""41/43"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Tērbatas iela"", ""amenity"": ""restaurant"", ""check_date"": ""2026-02-25"", ""cuisine"": ""meat"", ""diet:meat"": ""yes"", ""name"": ""Meat Chef"", ""opening_hours"": ""Mo-Th,Su 13:00-22:00; Fr-Sa 13:00-23:00"", ""phone"": ""+371 67 272 707"", ""ref:LV:addr"": ""102005465"", ""website"": ""https://meatchef.lv/"", ""wheelchair"": ""no""}"
node/429244069,node,429244069,Pīrādziņi,56.9608863,24.1030131,cafe,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""11"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Rūpniecības iela"", ""amenity"": ""cafe"", ""name"": ""Pīrādziņi"", ""phone"": ""+371 67322326"", ""ref:LV:addr"": ""101982252""}"
node/429595275,node,429595275,Lapsas māja,56.9546913,24.1236243,restaurant,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""28"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Tērbatas iela"", ""amenity"": ""restaurant"", ""check_date"": ""2026-02-11"", ""email"": ""anita@lapsasmaja.lv; liene@lapsasmaja.lv"", ""indoor_seating"": ""yes"", ""level"": ""0"", ""name"": ""Lapsas māja"", ""opening_hours"": ""Mo-Fr 09:00-20:00; Sa 10:00-20:00; Su 10:00-17:00"", ""outdoor_seating"": ""yes"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""phone"": ""+371 26 433 339;+371 29 242 661"", ""ref:LV:addr"": ""102005336"", ""toilets:wheelchair"": ""no"", ""website"": ""https://www.lapsasmaja.lv/"", ""wheelchair"": ""limited""}"
node/429595279,node,429595279,Pica LuLū,56.9549397,24.1224854,fast_food,pizza,,Pica Lulū,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""5A"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Blaumaņa iela"", ""amenity"": ""fast_food"", ""brand"": ""Pica Lulū"", ""check_date"": ""2026-03-11"", ""cuisine"": ""pizza"", ""name"": ""Pica LuLū"", ""opening_hours"": ""24/7"", ""ref:LV:addr"": ""101821758"", ""takeaway"": ""yes"", ""toilets:wheelchair"": ""no"", ""website"": ""https://www.lulu.lv/"", ""wheelchair"": ""limited""}"
node/429595280,node,429595280,Costa,56.9550369,24.1223636,cafe,coffee_shop,,Costa,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Blaumaņa iela"", ""amenity"": ""cafe"", ""brand"": ""Costa"", ""brand:wikidata"": ""Q608845"", ""brand:wikipedia"": ""en:Costa Coffee"", ""cuisine"": ""coffee_shop"", ""level"": ""0"", ""name"": ""Costa"", ""ref:LV:addr"": ""101821741"", ""takeaway"": ""yes"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""limited""}"
