osm_key,osm_type,osm_id,name,latitude,longitude,shop,amenity,leisure,operator,brand,tags_json
node/249079009,node,249079009,Maxima XX,56.9226685,24.1068208,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""73"", ""addr:postcode"": ""LV-1004"", ""addr:street"": ""Mūkusalas iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""name"": ""Maxima XX"", ""opening_hours"": ""Mo-Su 08:00-23:00"", ""operator"": ""Maxima Latvija"", ""phone"": ""+371 67807920"", ""ref:LV:addr"": ""101955434"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/291579538,node,291579538,Mego,56.9557649,24.1357607,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""70"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Aleksandra Čaka iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""check_date"": ""2025-10-22"", ""name"": ""Mego"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""ref:LV:addr"": ""101113291"", ""shop"": ""supermarket""}"
node/292894208,node,292894208,Rimi Mini,56.9422926,24.0623206,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""41"", ""addr:postcode"": ""LV-1083"", ""addr:street"": ""Kalnciema iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2024-03-22"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""101133682"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/293897644,node,293897644,Maxima X,56.9783049,24.2532338,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""45"", ""addr:postcode"": ""LV-1064"", ""addr:street"": ""Juglas iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-09-07"", ""check_date:opening_hours"": ""2024-08-30"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""Maxima Latvija"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""101838812"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/295403929,node,295403929,Maxima X,56.9203476,24.172427,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""267"", ""addr:postcode"": ""LV-1063"", ""addr:street"": ""Latgales iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-02-10"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""101942764"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/298195584,node,298195584,Rimi Mini,56.9252497,24.1673028,supermarket,,,,Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""220B"", ""addr:postcode"": ""LV-1019"", ""addr:street"": ""Latgales iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date:opening_hours"": ""2022-04-02"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""ref:LV:addr"": ""101941746"", ""shop"": ""supermarket""}"
node/300840683,node,300840683,Rimi Mini,56.9491884,23.9997321,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""34"", ""addr:postcode"": ""LV-1029"", ""addr:street"": ""Zolitūdes iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""level"": ""0"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""101130564"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/300841340,node,300841340,Mego,56.9462173,24.0143071,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""2A"", ""addr:postcode"": ""LV-1029"", ""addr:street"": ""Paula Lejiņa iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""check_date"": ""2025-07-02"", ""name"": ""Mego"", ""opening_hours"": ""24/7"", ""ref:LV:addr"": ""106358422"", ""shop"": ""supermarket"", ""wheelchair"": ""yes""}"
node/304090763,node,304090763,Rimi Mini,56.9541913,24.0076588,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""90"", ""addr:postcode"": ""LV-1069"", ""addr:street"": ""Anniņmuižas bulvāris"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2023-10-20"", ""contact:draugiem"": ""https://www.draugiem.lv/rimi/"", ""contact:facebook"": ""https://www.facebook.com/Rimi.Latvija/"", ""contact:instagram"": ""https://www.instagram.com/rimi.latvija/"", ""contact:tiktok"": ""https://www.tiktok.com/@rimi.latvija"", ""contact:twitter"": ""https://twitter.com/RimiLatvija"", ""email"": ""info.lv@rimibaltic.com"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""104709955"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/"", ""wheelchair"": ""yes""}"
node/321491477,node,321491477,Maxima X,56.9598268,24.1053602,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""7"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Pulkveža Brieža iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-05-23"", ""check_date:opening_hours"": ""2025-05-23"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00"", ""operator"": ""Maxima Latvija"", ""phone"": ""+371 80 002 020"", ""ref:LV:addr"": ""101972032"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
