district,area_km2,osm_total,osm_commercial_proxy,osm_company_like,osm_building_office,google_office_count,osm_total_per_km2,osm_commercial_per_km2,delta_vs_google
Centrs,3.745625104328843,344,246,141,32,2,91.84,65.68,342
Teika,4.790441770734556,87,81,52,17,5,18.16,16.91,82
Torņakalns,3.2028263288382157,57,55,39,13,0,17.8,17.17,57
Āgenskalns,4.649441519509,68,54,34,10,0,14.63,11.61,68
Dārzciems,4.569498246021485,40,37,26,10,3,8.75,8.1,37
Avoti,1.7954289439565922,37,30,14,11,0,20.61,16.71,37
Ķengarags,5.188296789500324,37,30,20,7,0,7.13,5.78,37
Šķirotava,10.016762222528476,31,29,25,3,4,3.09,2.9,27
Ziepniekkalns,10.919571592193238,32,28,16,14,2,2.93,2.56,30
Vecrīga,0.9408071791357798,90,28,15,10,0,95.66,29.76,90
Skanste,2.1626263088096236,32,26,18,6,0,14.8,12.02,32
Grīziņkalns,1.518785619122574,30,25,16,10,3,19.75,16.46,27
Brasa,1.7221827521685418,31,23,15,4,2,18.0,13.36,29
Dreiliņi,4.151765419095584,22,22,16,6,7,5.3,5.3,15
Pleskodāle,3.4749091706324595,21,19,16,2,0,6.04,5.47,21
Imanta,8.99276101708583,19,18,13,1,9,2.11,2.0,10
Pētersala-Andrejsala,2.75985250607453,20,16,12,4,1,7.25,5.8,19
Sarkandaugava,7.512784125325157,19,16,12,2,2,2.53,2.13,17
Purvciems,5.011668815034421,15,15,9,4,10,2.99,2.99,5
Dzirciems,2.440285550404223,17,14,8,4,0,6.97,5.74,17
Čiekurkalns,5.664399507079944,20,13,11,2,1,3.53,2.3,19
Atgāzene,0.7743854350635503,9,9,5,4,0,11.62,11.62,9
Ķīpsala,1.9677505391697903,8,8,4,2,0,4.07,4.07,8
Bukulti,5.157355270137341,7,6,5,1,9,1.36,1.16,-2
Šampēteris,1.3771774595150759,6,6,4,1,1,4.36,4.36,5
Iļģuciems,2.4402022934845897,5,5,2,1,3,2.05,2.05,2
Bieriņi,4.203765498219234,5,4,2,2,0,1.19,0.95,5
Mežaparks,11.793992793029357,3,3,0,1,4,0.25,0.25,-1
Pļavnieki,2.9522389760261403,3,3,3,1,0,1.02,1.02,3
Rumbula,6.955037990080586,3,3,2,1,3,0.43,0.43,0
Bišumuiža,2.2540503480529597,2,2,2,0,0,0.89,0.89,2
Bolderāja,7.778258674323318,2,2,1,0,13,0.26,0.26,-11
Kleisti,18.750746828996107,3,2,1,1,10,0.16,0.11,-7
Mežciems,7.550215858280222,5,2,0,2,1,0.66,0.26,4
Vecmīlgrāvis,5.84669917131057,2,2,1,0,12,0.34,0.34,-10
Kundziņsala,5.539136295074769,1,1,0,1,0,0.18,0.18,1
Zasulauks,1.187641722096827,2,1,0,1,0,1.68,0.84,2
Zolitūde,2.871565679523669,1,1,1,0,0,0.35,0.35,1
Salas,3.6212669162318254,1,0,0,0,0,0.28,0.0,1
Mūkupurvs,4.53731012001696,0,0,0,0,0,0.0,0.0,0
Daugavgrīva,10.284701640054333,0,0,0,0,8,0.0,0.0,-8
Suži,3.993276828566989,0,0,0,0,2,0.0,0.0,-2
Beberbeķi,1.2106448722533296,0,0,0,0,1,0.0,0.0,-1
Katlakalns,1.5351211521956,0,0,0,0,0,0.0,0.0,0
Voleri,5.87275966687509,0,0,0,0,1,0.0,0.0,-1
Jugla,0.0,0,0,0,0,0,0.0,0.0,0
Brekši,2.0323368399074626,0,0,0,0,2,0.0,0.0,-2
Latgale,0.0,0,0,0,0,0,0.0,0.0,0
Dārziņi,4.338826911461596,0,0,0,0,2,0.0,0.0,-2
Rītabuļļi,0.04550598449980879,0,0,0,0,0,0.0,0.0,0
Spilve,9.830798112908333,0,0,0,0,4,0.0,0.0,-4
Vecdaugava,3.0636823666926762,0,0,0,0,2,0.0,0.0,-2
Vecāķi,2.2617009515959725,0,0,0,0,5,0.0,0.0,-5
Trīsciems,11.26537612323435,0,0,0,0,9,0.0,0.0,-9
Mīlgrāvis,0.0,0,0,0,0,0,0.0,0.0,0
Mangaļsala,8.247913817015203,0,0,0,0,11,0.0,0.0,-11
Jaunciems,9.08080835418482,0,0,0,0,3,0.0,0.0,-3
Berģi,5.6712027932444915,1,0,0,0,5,0.18,0.0,-4
