osm_key,osm_type,osm_id,name,latitude,longitude,office,building,operator,brand,addr_street,addr_housenumber,addr_city,source,tags_json
node/289960977,node,289960977,Rīgas dome,56.9478257,24.1063798,government,,,,Rātslaukums,1,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Rātslaukums"", ""amenity"": ""townhall"", ""name"": ""Rīgas dome"", ""name:de"": ""Rigaer Stadtrat"", ""name:en"": ""Riga City Council"", ""name:lv"": ""Rīgas dome"", ""office"": ""government"", ""ref:LV:addr"": ""103877933"", ""wheelchair"": ""no""}"
node/470042257,node,470042257,Vācijas vēstniecība,56.9515384,24.1146351,diplomatic,,,,Raiņa bulvāris,13,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Raiņa bulvāris"", ""check_date"": ""2025-08-18"", ""check_date:opening_hours"": ""2025-08-18"", ""country"": ""DE"", ""diplomatic"": ""embassy"", ""embassy"": ""yes"", ""name"": ""Vācijas vēstniecība"", ""name:be"": ""Амбасада Германіі"", ""name:de"": ""Deutsche Botschaft"", ""name:en"": ""German embassy"", ""name:fr"": ""Ambassade d'Allemagne"", ""name:lv"": ""Vācijas vēstniecība"", ""name:ru"": ""Посольство Германии"", ""office"": ""diplomatic"", ""official_name:de"": ""Botschaft der Bundesrepublik Deutschland"", ""opening_hours"": ""Mo,Tu,Th,Fr 09:00-12:00; We 14:00-16:00"", ""ref:LV:addr"": ""101973790"", ""target"": ""LV"", ""website"": ""https://riga.diplo.de/"", ""wheelchair"": ""no"", ""wikidata"": ""Q1202233"", ""wikipedia"": ""de:Deutsche Botschaft Riga""}"
node/479764426,node,479764426,"AS Latvijas attīstības finanšu institūcija ""Altum""",56.9494265,24.1040542,government,,,,Doma laukums,4,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Doma laukums"", ""amenity"": ""bank"", ""name"": ""AS Latvijas attīstības finanšu institūcija \""Altum\"""", ""office"": ""government"", ""opening_hours"": ""Mo-Fr 08:30-17:00"", ""ref:LV:addr"": ""104221485"", ""wheelchair"": ""no""}"
node/501609061,node,501609061,Liebritānijas vēstniecība,56.9565876,24.1099459,diplomatic,,,,Jura Alunāna iela,5,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Jura Alunāna iela"", ""alt_name"": ""British Embassy Riga"", ""check_date"": ""2024-09-16"", ""contact:website"": ""https://www.gov.uk/world/organisations/british-embassy-riga"", ""country"": ""GB"", ""diplomatic"": ""embassy"", ""embassy"": ""yes"", ""emergency:phone"": ""+371 67 774 700"", ""name"": ""Liebritānijas vēstniecība"", ""name:en"": ""British Embassy"", ""name:fr"": ""Ambassade du Royaume-Uni"", ""name:lv"": ""Liebritānijas vēstniecība"", ""name:ru"": ""Посольство Великобритании"", ""name:tr"": ""Birleşik Krallık Büyükelçiliği"", ""office"": ""diplomatic"", ""opening_hours"": ""Mo-Fr 09:00-13:00,14:00-17:00 open \""By appointment only\""; PH off"", ""ref:LV:addr"": ""101839172"", ""subject:wikimedia_commons"": ""File:British Embassy, Riga.jpg"", ""target"": ""LV"", ""wikidata"": ""Q59290236""}"
node/732037832,node,732037832,British Council Latvia,56.9547913,24.1226486,yes,,,,Blaumaņa iela,5A,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""5A"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Blaumaņa iela"", ""name"": ""British Council Latvia"", ""office"": ""yes"", ""ref:LV:addr"": ""101821758""}"
node/868165203,node,868165203,Zaigas Gailes birojs,56.9500577,24.1229156,architect,,,,Marijas iela,13 k-4,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""13 k-4"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Marijas iela"", ""name"": ""Zaigas Gailes birojs"", ""office"": ""architect"", ""phone"": ""+371 67812088"", ""ref:LV:addr"": ""101938998"", ""website"": ""https://www.zgb.lv/""}"
node/1000699147,node,1000699147,Ukrainas vēstniecība,56.9579591,24.1068409,diplomatic,,,,Kalpaka bulvāris,3,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""3"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Kalpaka bulvāris"", ""country"": ""UA"", ""diplomatic"": ""embassy"", ""embassy"": ""yes"", ""fax"": ""+371 6 732 55 83"", ""name"": ""Ukrainas vēstniecība"", ""name:en"": ""Embassy of Ukraine"", ""name:fr"": ""Ambassade d'Ukraine"", ""name:lv"": ""Ukrainas vēstniecība"", ""name:ru"": ""Посольство Украины"", ""name:uk"": ""Посольство України"", ""office"": ""diplomatic"", ""phone"": ""+371 6 724 30 82"", ""ref:LV:addr"": ""101139894"", ""target"": ""LV"", ""website"": ""https://www.mfa.gov.ua/latvia/"", ""wikidata"": ""Q12142709""}"
node/1041843627,node,1041843627,Pasaules Dabas fonds,56.9580442,24.1092319,ngo,,,,Elizabetes iela,8,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""8"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Elizabetes iela"", ""check_date"": ""2024-03-03"", ""name"": ""Pasaules Dabas fonds"", ""office"": ""ngo"", ""ref:LV:addr"": ""101137890"", ""short_name:en"": ""WWF"", ""wheelchair"": ""no""}"
node/1041843642,node,1041843642,Somijas vēstniecība,56.958126,24.1066427,diplomatic,,,,Kalpaka bulvāris,1,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Kalpaka bulvāris"", ""country"": ""FI"", ""diplomatic"": ""embassy"", ""email"": ""sanomat.rii@formin.fi"", ""embassy"": ""yes"", ""fax"": ""+371 6707 8814"", ""name"": ""Somijas vēstniecība"", ""name:en"": ""Embassy of Finland"", ""name:fi"": ""Suomen suurlähetystö"", ""name:fr"": ""Ambassade de Finlande"", ""name:lv"": ""Somijas vēstniecība"", ""name:ru"": ""Посольство Финляндии"", ""name:sv"": ""Finlands ambassad"", ""office"": ""diplomatic"", ""opening_hours"": ""Mo-Fr 08:30-12:00,13:00-16:30"", ""phone"": ""+371 6707 8800"", ""ref:LV:addr"": ""101139886"", ""target"": ""LV"", ""website"": ""https://finlandabroad.fi/web/lva"", ""wikidata"": ""Q106292689""}"
node/1041843648,node,1041843648,Guna Stikute,56.9580578,24.1091281,lawyer,,,,Elizabetes iela,8,Rīga,osm_overpass,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""8"", ""addr:postcode"": ""LV-1010"", ""addr:street"": ""Elizabetes iela"", ""lawyer"": ""notary"", ""name"": ""Guna Stikute"", ""office"": ""lawyer"", ""ref:LV:addr"": ""101137890""}"
