osm_key,osm_type,osm_id,name,latitude,longitude,stop_type,operator,network,tags_json
node/29783876,node,29783876,Stacijas laukums,56.9476515,24.116343,tram_stop,,,"{""name"": ""Stacijas laukums"", ""public_transport"": ""stop_position"", ""railway"": ""tram_stop"", ""tram"": ""yes""}"
node/246519725,node,246519725,Zolitūde,56.9492348,24.0223682,halt,,,"{""name"": ""Zolitūde"", ""name:lv"": ""Zolitūde"", ""name:ru"": ""Золитуде"", ""public_transport"": ""station"", ""railway"": ""halt"", ""train"": ""yes"", ""uic_ref"": ""2500801"", ""wikidata"": ""Q2329881""}"
node/257807862,node,257807862,Dreiliņu iela,56.9417806,24.0619887,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Dreiliņu iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no""}"
node/257807863,node,257807863,Melnsila iela,56.9435567,24.0690586,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""bus"": ""yes"", ""check_date:shelter"": ""2026-03-19"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Melnsila iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no""}"
node/257807865,node,257807865,Ķīpsala,56.9491836,24.0867083,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Ķīpsala"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/257809060,node,257809060,Blaumaņa iela,56.9542484,24.1225282,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""no"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Blaumaņa iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/257809061,node,257809061,Matīsa iela,56.9562716,24.1361344,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Matīsa iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/257809062,node,257809062,Matīsa iela,56.9562732,24.1365047,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""bus"": ""yes"", ""departures_board"": ""timetable"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Matīsa iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/257811271,node,257811271,Krāsotāju iela,56.9534683,24.1411144,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Krāsotāju iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/257811272,node,257811272,Bruņinieku iela,56.9523011,24.1403001,bus_stop,,,"{""bench"": ""no"", ""bin"": ""yes"", ""check_date:shelter"": ""2023-06-13"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Bruņinieku iela"", ""public_transport"": ""platform"", ""shelter"": ""no"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
node/257811273,node,257811273,Stabu iela,56.9514975,24.1364461,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Stabu iela"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""yes"", ""trolleybus"": ""yes""}"
node/257811274,node,257811274,Lucavsala,56.9294428,24.1142405,bus_stop,,,"{""bench"": ""yes"", ""bin"": ""yes"", ""highway"": ""bus_stop"", ""lit"": ""yes"", ""name"": ""Lucavsala"", ""public_transport"": ""platform"", ""shelter"": ""yes"", ""tactile_paving"": ""no"", ""trolleybus"": ""yes""}"
