place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJ_wM9uIcn70YRw4GacNClDmU,Līdumu quarry trail,parks,"establishment,park,point_of_interest",OPERATIONAL,"Olaine parish, Olaine Municipality, LV-2127, Latvia",Olaine parish,56.7856122,23.8705568,9G85QVPC+66,"QVPC+66 Uzvaras Līdums, Olaine parish, Olaine Municipality, Latvia",4.7,142.0,https://aplankyk.eu/latvijos-pazintiniai-takai/lidumu-karjera-taka-lidumu-quarry-trail,,,https://maps.google.com/?cid=7281939962165625283,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:18.944793
ChIJCWjLoZcn70YRfNVYEhjE5TY,Līduma karjera atpūtas vieta,parks,"establishment,park,point_of_interest,zoo",OPERATIONAL,"Unnamed Rd, Olaine parish, Olaine Municipality, LV-2127, Latvia",Unnamed Rd,56.7856256,23.8753489,9G85QVPG+74,"QVPG+74 Uzvaras Līdums, Olaine parish, Olaine Municipality, Latvia",4.8,684.0,,,,https://maps.google.com/?cid=3955783455380919676,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:19.140504
ChIJKTsbXADZ7kYRcNXaZdu6-WA,Cenas tīrelis,parks,"establishment,park,point_of_interest",OPERATIONAL,"Cenas tīrelis oga, Mārupes pagasts, Mārupes novads, LV-2166, Latvia",Cenas tīrelis oga,56.8574784,23.856084,9G85VV44+XC,"VV44+XC Jaunmārupe, Mārupes pagasts, Mārupe Municipality, Latvia",5.0,4.0,,,,https://maps.google.com/?cid=6987821748311479664,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:19.320418
ChIJgV8haB3Z7kYR-w3l3a5du4s,Cenas tīrelis,parks,"establishment,park,point_of_interest,premise,street_address",,Latvia,,56.8574784,23.856084,,,,,,,,https://maps.google.com/?cid=10068744397545344507,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:19.520906
ChIJrVPuo3DX7kYRaJhwoiMqnO0,"Atpūtas vieta ""Sēnes""",parks,"establishment,park,point_of_interest",OPERATIONAL,"Jelgavas iela 8, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Jelgavas iela 8, Olaine",56.7898817,23.9362059,9G85QWQP+XF,"QWQP+XF Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.0,1.0,,,,https://maps.google.com/?cid=17121606215893293160,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:19.689456
ChIJhfQ4kGHX7kYRvg3xO-HzxaY,Atpūtas vieta,parks,"establishment,park,point_of_interest",OPERATIONAL,"Olaine, Olaines pilsēta, Olaine Municipality, LV-2114, Latvia",Olaine,56.788148,23.9398258,9G85QWQQ+7W,"QWQQ+7W Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.0,1.0,,,,https://maps.google.com/?cid=12017279329406881214,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:19.867853
ChIJG8vbVr_X7kYRMZAA2PZ573Y,Jaunolaines pastaigu taka,parks,"establishment,park,point_of_interest",OPERATIONAL,"Pionieru iela 88, Jaunolaine, Olaines pagasts, Olaines novads, LV-2127, Latvia","Pionieru iela 88, Jaunolaine",56.8084791,23.9926932,9G85RX5V+93,"RX5V+93 Jaunolaine, Olaine parish, Olaine Municipality, Latvia",4.4,43.0,,,,https://maps.google.com/?cid=8570202717002174513,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:20.036364
ChIJ1bomziYo70YRTa1zb29i3AY,Olaine town’s forest park,parks,"establishment,park,point_of_interest",OPERATIONAL,"Veselības iela 7, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Veselības iela 7, Olaine",56.7838783,23.9341106,9G85QWMM+HJ,"QWMM+HJ Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.8,967.0,http://olaine.lv/,,,https://maps.google.com/?cid=494378289854655821,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:20.200599
ChIJcUCv9CQo70YR-bX49VyVtfE,Play park for kids,parks,"establishment,park,point_of_interest",OPERATIONAL,"Stacijas iela 42, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Stacijas iela 42, Olaine",56.7828848,23.9303005,9G85QWMJ+54,"QWMJ+54 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.6,152.0,http://olaine.lv/,,,https://maps.google.com/?cid=17416991360421508601,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:20.385446
ChIJZY78ctzX7kYRhCFGPiRuLr4,Black lake bog,parks,"establishment,park,point_of_interest",OPERATIONAL,"Unnamed Road, Mārupes pagasts, Olaines novads, LV-2127, Latvia",Unnamed Road,56.84700059999999,23.9422121,9G85RWWR+RV,"RWWR+RV Grēnes, Olaine parish, Olaine Municipality, Latvia",3.9,56.0,,,,https://maps.google.com/?cid=13704011818077659524,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:20.561797
ChIJJUqemagp70YRrozF5hc286A,Ziemas kalns,parks,"establishment,park,point_of_interest",OPERATIONAL,"Dalbes iela, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Dalbes iela, Olaine",56.78143979999999,23.919405,9G85QWJ9+HQ,"QWJ9+HQ Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.7,7.0,,,,https://maps.google.com/?cid=11597672941693013166,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:20.747563
ChIJu0QtkzHX7kYR5X7ZYwDlHl4,Mežezera pastaigu taka,parks,"establishment,park,point_of_interest",OPERATIONAL,"Meža iela, Jaunolaine, Olaines pagasts, Olaines novads, LV-2127, Latvia","Meža iela, Jaunolaine",56.7985266,24.0050349,9G86Q2X4+C2,"Q2X4+C2 Jaunolaine, Olaine parish, Olaine Municipality, Latvia",4.8,41.0,,,,https://maps.google.com/?cid=6782109878704504549,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:20.934067
ChIJ63nrRh0p70YRWsQ2CMQ4NB4,Tilts pār Misu,parks,"establishment,park,point_of_interest",OPERATIONAL,"Ezītis 176, Ezītis, Olaines pagasts, Olaines novads, LV-2127, Latvia","Ezītis 176, Ezītis",56.776134,23.9697929,9G85QXG9+FW,"QXG9+FW Ezītis, Olaine parish, Olaine Municipality, Latvia",3.5,4.0,,,,https://maps.google.com/?cid=2176426934529344602,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:21.091745
ChIJx9ZdpG3X7kYRk20B80L8WxY,Melnā ezera purvs,parks,"establishment,park,point_of_interest,premise,street_address",,"Olaine parish, Olaine Municipality, LV-2127, Latvia",,56.83922099999999,23.9900897,,,,,,,,https://maps.google.com/?cid=1611158656190082451,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:21.240865
ChIJYbVaWiDX7kYRop_gFjs0-yo,"Lāčplēsis, Atpūtas bāze",parks,"campground,establishment,lodging,park,point_of_interest",OPERATIONAL,"Olaine, Olaine parish, Olaine Municipality, LV-2127, Latvia",Olaine,56.8449384,24.0181424,9G86R2V9+X7,"R2V9+X7 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.3,320.0,,20 262 898,+371 20 262 898,https://maps.google.com/?cid=3097126597138882466,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,True,2025-10-26T12:19:21.420864
ChIJeZDrDADX7kYRzAxQUCnb_Zo,Purva ezers,parks,"establishment,park,point_of_interest",OPERATIONAL,"Virši 7, Virši, Olaines pagasts, Olaines novads, LV-2127, Latvia","Virši 7, Virši",56.8410042,24.0953521,9G86R3RW+C4,"R3RW+C4 Virši, Olaines pagasts, Olaines novads, Latvia",,,,,,https://maps.google.com/?cid=11168323621436263628,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:21.593290
ChIJoxSjaADX7kYRnAdnWlg5ofk,Laipa,parks,"establishment,park,point_of_interest",OPERATIONAL,"Virši 50, Virši, Olaines pagasts, Olaines novads, LV-2127, Latvia","Virši 50, Virši",56.8421339,24.0988598,9G86R3RX+VG,"R3RX+VG Virši, Olaines pagasts, Olaines novads, Latvia",,,,,,https://maps.google.com/?cid=17987721438331078556,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,,2025-10-26T12:19:21.745514
ChIJc0XAnBfT7kYRNhrJEO5OSfE,Skujnieku krustojums,parks,"establishment,park,point_of_interest",OPERATIONAL,"Skujnieki, Ķekava Parish, Ķekava Municipality, LV-2111, Latvia",Skujnieki,56.8442667,24.140095,9G86R4VR+P2,"R4VR+P2 Skujnieki, Ķekava Parish, Ķekava Municipality, Latvia",,,,,,https://maps.google.com/?cid=17386514620831308342,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,True,2025-10-26T12:19:21.962570
ChIJaemLzZfV7kYRg15KbWAjGWc,Pļavas Pavāri,parks,"campground,establishment,lodging,park,point_of_interest",OPERATIONAL,"Rosmes iela 2, Jaunsils, Ķekavas pagasts, Ķekavas novads, LV-2123, Latvia","Rosmes iela 2, Jaunsils",56.8040252,24.1670418,9G86R538+JR,"R538+JR Jaunsils, Ķekava Parish, Ķekava Municipality, Latvia",5.0,3.0,,27 167 761,+371 27 167 761,https://maps.google.com/?cid=7429007957381766787,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,,2025-10-26T12:19:22.142442
ChIJ56jflGzT7kYRImZUb6E-1vs,Viesu nams Rīgas rajonā - Svētku Pils,parks,"establishment,food,lodging,park,point_of_interest",OPERATIONAL,"Attekas Vimbukrogs, Ķekavas pag, Vimbukrogs, Ķekavas pagasts, Ķekavas novads, LV-2123, Latvia","Attekas Vimbukrogs, Ķekavas pag",56.8472673,24.2198489,9G86R6W9+WW,"R6W9+WW Vimbukrogs, Ķekava Parish, Ķekava Municipality, Latvia",4.8,649.0,https://www.svetkupils.lv/,20 102 255,+371 20 102 255,https://maps.google.com/?cid=18146760611614451234,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:19:22.325760
ChIJcVgiCL3U7kYRcow-fAySCU0,Kempings Zanzibāra,parks,"campground,establishment,lodging,park,point_of_interest",OPERATIONAL,"Birzmaļi, Ķekava pilsēta, Ķekavas novads, LV-2123, Latvia",Birzmaļi,56.813283,24.204425,9G86R673+8Q,"R673+8Q Ķekava, Ķekava Parish, Ķekava Municipality, Latvia",4.4,367.0,https://www.zanzibara.lv/,22 001 295,+371 22 001 295,https://maps.google.com/?cid=5551128598032583794,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/camping-71.png,True,2025-10-26T12:19:22.500685
