place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJJeFvxt_X7kYRcBjzaM3PAAQ,Olaine,business_centers,"locality,political",,"Olaine, Olaines pilsēta, Olaine Municipality, LV-2114, Latvia",Olaine,56.7871834,23.9422997,,,,,http://www.olaine.lv/,,,https://maps.google.com/?cid=288458857287719024,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/geocode-71.png,,2025-10-26T12:10:43.400463
ChIJA3K8ZePX7kYRbDpfCWbI884,"Olfa Press , SIA",business_centers,"establishment,point_of_interest",OPERATIONAL,"Rūpnīcu iela 5, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 5, Olaine",56.7969333,23.9159604,9G85QWW8+Q9,"QWW8+Q9 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.9,7.0,http://www.olfapress.lv/,26 322 240,+371 26 322 240,https://maps.google.com/?cid=14912483131723299436,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,False,2025-10-26T12:10:43.597964
ChIJAQAAAOHX7kYRxOWNkSF3mc4,Dinair Filton SIA,business_centers,"establishment,point_of_interest",OPERATIONAL,"Rūpnīcu iela 4, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 4, Olaine",56.79766799999999,23.9268411,9G85QWXG+3P,"QWXG+3P Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.2,73.0,https://www.dinair.lv/,67 069 823,+371 67 069 823,https://maps.google.com/?cid=14887061029309507012,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,False,2025-10-26T12:10:43.768345
ChIJQ5vtRYDR7kYRgCvIGln_WOw,IMS Baltic SIA,business_centers,"establishment,point_of_interest",OPERATIONAL,"Rūpnīcu iela 4, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 4, Olaine",56.7981111,23.9275282,9G85QWXH+62,"QWXH+62 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",5.0,2.0,http://www.schmolz-bickenbach.lv/,20 040 615,+371 20 040 615,https://maps.google.com/?cid=17030642749068028800,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,False,2025-10-26T12:10:43.950511
ChIJA3K8ZePX7kYRr12p26IyHqg,Olpha,business_centers,"establishment,health,point_of_interest",OPERATIONAL,"Rūpnīcu iela 5, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 5, Olaine",56.7962182,23.9232546,9G85QWWF+F8,"QWWF+F8 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.5,70.0,https://olpha.eu/,67 013 708,+371 67 013 708,https://maps.google.com/?cid=12114175722724613551,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:10:44.130282
ChIJ_zRgF8zP7kYR9eoK-EFK-K8,"""Apavi 40+"", Large size shoes",business_centers,"establishment,point_of_interest,shoe_store,store",OPERATIONAL,"Rūpnīcu iela 4, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 4, Olaine",56.7994586,23.926822,9G85QWXG+QP,"QWXG+QP Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.7,154.0,http://apavi40plus.lv/en,22 339 398,+371 22 339 398,https://maps.google.com/?cid=12679966398056426229,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,,2025-10-26T12:10:44.317945
ChIJMx4c8ubX7kYRSvk9OmQ_pM0,Waras ula SIA,business_centers,"establishment,food,point_of_interest",OPERATIONAL,"Rūpnīcu iela 4, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 4, Olaine",56.797659,23.92686,9G85QWXG+3P,"QWXG+3P Olaine, Olaines pilsēta, Olaine Municipality, Latvia",,,,29 344 346,+371 29 344 346,https://maps.google.com/?cid=14818038373662193994,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:10:44.484031
ChIJVVVVVRXW7kYR1h2n8jWJNdQ,"Lyngson , SIA",business_centers,"car_repair,establishment,point_of_interest",OPERATIONAL,"Akači, Olaines pagasts, Olaines novads, LV-2127, Latvia",Akači,56.8023147,23.9307327,9G85RW2J+W7,"RW2J+W7 Grēnes, Olaine parish, Olaine Municipality, Latvia",4.6,55.0,http://www.lyngson.lv/,67 796 710,+371 67 796 710,https://maps.google.com/?cid=15291278974603697622,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,False,2025-10-26T12:10:44.676998
ChIJI4kow-bX7kYRheGlrb1LZnM,Olaine chemical plant BIOLAR,business_centers,"establishment,point_of_interest",OPERATIONAL,"3 Rupnicu Str, Rūpnīcu iela 3, Olaine, Olaines pilsēta, Olaine Municipality, LV-2114, Latvia","3 Rupnicu Str, Rūpnīcu iela 3, Olaine",56.79640759999999,23.9268107,9G85QWWG+HP,"QWWG+HP Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.7,7.0,http://www.biolar.lv/,67 964 010,+371 67 964 010,https://maps.google.com/?cid=8315417040020431237,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,False,2025-10-26T12:10:44.850992
ChIJhZIsUebX7kYRuQ_RDxdibhQ,"Verdina Sausais Ledus , SIA",business_centers,"establishment,point_of_interest",OPERATIONAL,"Rūpnīcu iela 4, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Rūpnīcu iela 4, Olaine",56.79836299999999,23.9286031,9G85QWXH+8C,"QWXH+8C Olaine, Olaines pilsēta, Olaine Municipality, Latvia",,,,67 069 816,+371 67 069 816,https://maps.google.com/?cid=1472221979385860025,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:10:45.010734
