place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJPymnVyYo70YR1j0yZiNMVd8,History and Art Museum of Olaine,tourist_attractions,"establishment,museum,point_of_interest,tourist_attraction",OPERATIONAL,"Jelgavas iela 9-37, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Jelgavas iela 9-37, Olaine",56.7902636,23.9368626,9G85QWRP+4P,"QWRP+4P Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.4,162.0,http://www.olaine.lv/lv/muzejs,20 172 030,+371 20 172 030,https://maps.google.com/?cid=16092852558400470486,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,False,2025-10-26T12:16:54.682681
ChIJuW0AI1Ap70YRDeuEtxmkkxA,Olaines baltais ūdenstornis,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Olaine, Olaines pilsēta, Olaine Municipality, LV-2114, Latvia",Olaine,56.7854441,23.9349875,9G85QWPM+5X,"QWPM+5X Olaine, Olaines pilsēta, Olaine Municipality, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=1194478756543392525,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:54.856795
ChIJcxWxOqYp70YRvYZ9D018i8g,Olaines grafiti ūdenstornis,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Veselības iela 7, Olaine, Olaines pilsēta, Olaines novads, LV-2114, Latvia","Veselības iela 7, Olaine",56.7831017,23.9328136,9G85QWMM+64,"QWMM+64 Olaine, Olaines pilsēta, Olaine Municipality, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=14450780499762579133,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:55.044997
ChIJ06RYFVvW7kYRlw_6puNWWV4,Alpine Dream,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Melderu iela 1, Jaunolaine, Olaines pagasts, Olaines novads, LV-2127, Latvia","Melderu iela 1, Jaunolaine",56.8085839,24.0150594,9G86R258+C2,"R258+C2 Jaunolaine, Olaine parish, Olaine Municipality, Latvia",4.9,28.0,https://www.facebook.com/alpinedream.lv/,29 226 640,+371 29 226 640,https://maps.google.com/?cid=6798560648251445143,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:16:55.251159
ChIJrWGluX_X7kYRXq8nvofTf9w,Sila kapu ūdenskrātuve,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Zemgales iela, Olaine, Olaines pagasts, Olaines novads, LV-2114, Latvia","Zemgales iela, Olaine",56.8455489,24.0139366,9G86R2W7+6H,"R2W7+6H Olaine, Olaines pilsēta, Olaine Municipality, Latvia",4.3,3.0,,,,https://maps.google.com/?cid=15888650590350716766,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:55.442474
ChIJN0VRBwDT7kYRd41pGO_wiSA,Odukalns,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Odukalns, Ķekava Parish, Ķekava Municipality, LV-2123, Latvia",Odukalns,56.8206042,24.2475309,9G86R6CX+62,"R6CX+62 Odukalns, Ķekava Parish, Ķekava Municipality, Latvia",,,,,,https://maps.google.com/?cid=2344669990720474487,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:16:55.610124
ChIJKdyE-FHT7kYRrF-AJD1lUKE,Doles salas dolomīta atsegums,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Unnamed Rd, Dolesmuiža, Salaspils pagasts, Salaspils novads, LV-2121, Latvia","Unnamed Rd, Dolesmuiža",56.8476189,24.2275957,9G86R6XH+22,"R6XH+22 Dolesmuiža, Salaspils parish, Salaspils Municipality, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=11623901951523053484,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:55.783739
ChIJDw3S5BfT7kYRVTjin7T9jxE,Doles dižakmens,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"R7R2+QR, Rumbenieši, Salaspils parish, Salaspils Municipality, LV-2121, Latvia","R7R2+QR, Rumbenieši",56.8419375,24.2520625,,,3.9,7.0,,,,https://maps.google.com/?cid=1265508972532742229,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:55.963992
ChIJsY7gA6ot6UYRi_EQ5VT1Hdg,Rīgas HES ūdenskrātuve,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Rīgas HES ūdenskrātuve, Salaspils pagasts, Salaspils novads, LV-2121, Latvia",Rīgas HES ūdenskrātuve,56.8414807,24.2987369,9G86R7RX+HF,"R7RX+HF Salaspils, Salaspils pilsēta, Salaspils Municipality, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=15572872831486194059,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:56.126586
ChIJD3zqVwAt6UYRL5z4RELTi2U,Daugavas HES Ūdenskrātuve,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Bērzmente, Ķekava Parish, Ķekava Municipality, LV-2123, Latvia",Bērzmente,56.8283784,24.3212036,9G86R8HC+9F,"R8HC+9F Bērzmente, Ķekava Parish, Ķekava Municipality, Latvia",4.0,1.0,,,,https://maps.google.com/?cid=7317174301171948591,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:56.327085
ChIJ7TOne_0s6UYRGnmQKtOhmus,Salaspils pludmale,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Zviedru iela 9, Salaspils, Salaspils pagasts, Salaspils novads, LV-2169, Latvia","Zviedru iela 9, Salaspils",56.84691530000001,24.3432313,9G86R8WV+Q7,"R8WV+Q7 Salaspils, Salaspils pilsēta, Salaspils Municipality, Latvia",4.6,476.0,,67 039 400,+371 67 039 400,https://maps.google.com/?cid=16977059673650788634,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:56.503395
ChIJn4D4CEks6UYRg9SZcBaiTTg,Daugmale hill fort,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"Daugmale Parish, Ķekava Municipality, LV-2124, Latvia",Daugmale Parish,56.8314444,24.38125,9G86R9JJ+HF,"R9JJ+HF Dzintari, Daugmales pagasts, Ķekavas novads, Latvia",4.6,278.0,,,,https://maps.google.com/?cid=4057077056592794755,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:56.680394
ChIJ3cVnwrvZ7kYRH6uViCessj0,Zivju dīķis BURAS,tourist_attractions,"amusement_park,establishment,point_of_interest,tourist_attraction",OPERATIONAL,"BURAS Jaunviesītes 2, Mārupes pagasts, Mārupes novads, LV-2166, Latvia",BURAS Jaunviesītes 2,56.8677951,23.9051609,9G85VW94+43,"VW94+43 Jaunmārupe, Mārupes pagasts, Mārupe Municipality, Latvia",4.7,3.0,http://karpudikis.lv/,24 914 914,+371 24 914 914,https://maps.google.com/?cid=4445805067963312927,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:56.880896
ChIJzyzFJwDZ7kYRH14-Os0O5IE,Piedzivojumi.lv SUP saullēkts un saulriets Cenas Tīrelī,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"VR27+MX, Lapsas, Babītes pagasts, Mārupes novads, LV-2107, Latvia","VR27+MX Cenas tīrelis, Lapsas",56.851633,23.814987,,,5.0,1.0,https://piedzivojumi.lv/,29 343 132,+371 29 343 132,https://maps.google.com/?cid=9359622200190983711,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,True,2025-10-26T12:16:57.067676
ChIJnarQTY_Z7kYRWvEykNhnQOA,Jaunmārupes Enduro Moto Taka,tourist_attractions,"establishment,point_of_interest,tourist_attraction",OPERATIONAL,"VW7P+GR, Jaunmārupe, Mārupes pagasts, Mārupe Municipality, LV-2166, Latvia","VW7P+GR, Jaunmārupe",56.8638374,23.9370803,,,4.3,15.0,,,,https://maps.google.com/?cid=16159029642835194202,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,2025-10-26T12:16:57.260050
