place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJLXrVQfXZ7kYRzlzSnS3u8ic,Mūzikas un mākslas skola,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Mārupes pagasts, Mārupe Municipality, LV-2166, Latvia",Latvia,56.88218,23.93454,9G85VWJM+VR,"VWJM+VR Jaunmārupe, Mārupes pagasts, Mārupe Municipality, Latvia",3.5,4.0,,,,https://maps.google.com/?cid=2878624991531916494,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:38.676764
ChIJwXkJSr7Q7kYR9heXncJYCyM,PII,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Mārupe, Mārupe pilsēta, Mārupe Municipality, LV-2167, Latvia",Mārupe,56.889006,24.017025,9G86V2Q8+JR,"V2Q8+JR Mārupe, Mārupes pagasts, Mārupe Municipality, Latvia",,,,,,https://maps.google.com/?cid=2525209608962119670,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:38.840037
ChIJmw2VE-LQ7kYRPQEVq6Lw6ek,Tīraine,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Tīraine, Mārupes pagasts, Mārupe Municipality, LV-2167, Latvia",Tīraine,56.88845,24.06243,9G86V3Q6+9X,"V3Q6+9X Tīraine, Mārupes pagasts, Mārupe Municipality, Latvia",4.0,5.0,,,,https://maps.google.com/?cid=16855267661856440637,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.021563
ChIJ16RyMvHQ7kYR_5NcikQi1m8,Mārupītes gatve,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Mārupe, Mārupe pilsēta, Mārupe Municipality, LV-2167, Latvia",Mārupe,56.90157000000001,24.04943,9G86W22X+JQ,"W22X+JQ Mārupe, Mārupes pagasts, Mārupe Municipality, Latvia",4.5,2.0,,,,https://maps.google.com/?cid=8058666261000524799,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.189964
ChIJUauxYknS7kYRZGNAQUUjM14,Katlakalns,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Katlakalns, Ķekava Parish, Ķekava Municipality, LV-2111, Latvia",Katlakalns,56.88444,24.19306,9G86V5MV+Q6,"V5MV+Q6 Katlakalns, Ķekava Parish, Ķekava Municipality, Latvia",4.0,1.0,,,,https://maps.google.com/?cid=6787807843731923812,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.355105
ChIJi2tkgmwt6UYRPCTJuqKJ7d0,Silava,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Salaspils, Salaspils pilsēta, Salaspils Municipality, LV-2169, Latvia",Salaspils,56.8717774,24.3530869,9G86V9C3+P6,"V9C3+P6 Salaspils, Salaspils pilsēta, Salaspils Municipality, Latvia",,,,,,https://maps.google.com/?cid=15991589183873950780,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.520420
ChIJSTRFf2st6UYR-LbDruwDbvw,Silava,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Salaspils, Salaspils pilsēta, Salaspils Municipality, LV-2169, Latvia",Salaspils,56.87229689999999,24.3529244,9G86V9C3+W5,"V9C3+W5 Salaspils, Salaspils pilsēta, Salaspils Municipality, Latvia",,,,,,https://maps.google.com/?cid=18189480260075239160,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.673492
ChIJvwRamXTb7kYRWv9pVhFKikc,Meistaru iela,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Piņķi, Babīte parish, Mārupe Municipality, LV-2107, Latvia",Piņķi,56.94293,23.90414,9G85WWV3+5M,"WWV3+5M Piņķi, Babīte parish, Mārupe Municipality, Latvia",4.9,8.0,,,,https://maps.google.com/?cid=5155014161803640666,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:39.863319
ChIJpSoBsVva7kYRrnibGxjCoG4,Skulte,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Skulte, Mārupes pagasts, Mārupe Municipality, LV-2108, Latvia",Skulte,56.91932,23.95358,9G85WX93+PC,"WX93+PC Skulte, Mārupes pagasts, Mārupe Municipality, Latvia",4.5,2.0,,,,https://maps.google.com/?cid=7971584749243955374,False,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.039165
ChIJWa2Wz3_Q7kYRWpe5X6oWN0c,Stīpnieki,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Mārupe, Mārupe pilsēta, Mārupe Municipality, LV-2167, Latvia",Mārupe,56.91641,24.01158,9G86W286+HJ,"W286+HJ Mārupe, Mārupes pagasts, Mārupe Municipality, Latvia",3.4,5.0,,,,https://maps.google.com/?cid=5131595221418219354,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.219978
ChIJI_v8Nw7b7kYRvMb7zlkLULw,Pagrieziens uz Piņķiem,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Priežciems, Babīte parish, Mārupe Municipality, LV-2107, Latvia",Priežciems,56.94403999999999,23.92294,9G85WWVF+J5,"WWVF+J5 Priežciems, Babīte parish, Latvia",5.0,3.0,,,,https://maps.google.com/?cid=13569358157619906236,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.393743
ChIJVxNn6hHb7kYRBjq2SVk3_Kw,Pagrieziens uz Piņķiem,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Babīte parish, Mārupe Municipality, LV-2107, Latvia",Latvia,56.9466043,23.9238975,9G85WWWF+JH,"WWWF+JH Priežciems, Babīte parish, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=12464898725282986502,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.579449
ChIJH9r0D53a7kYRothYSgYig74,Zolitūdes iela,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Riga, LV-1046, Latvia",Riga,56.92897,24.01584,9G86W2H8+H8,"W2H8+H8 Riga, Rīgas pilsēta, Riga, Latvia",4.6,8.0,,,,https://maps.google.com/?cid=13727853499567888546,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.754416
ChIJWcksAY_R7kYR0PdOfOq16_E,Valdlauču centrs,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Zemgale Suburb, Valdlauči, Ķekava Parish, Ķekava Municipality, LV-1076, Latvia","Zemgale Suburb, Valdlauči",56.90251,24.14668,9G86W43W+2M,"W43W+2M Valdlauči, Ķekava Parish, Ķekava Municipality, Latvia",5.0,2.0,,,,https://maps.google.com/?cid=17432226801380161488,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:40.938984
ChIJrwdGwz7N7kYRrksWSb85vg8,Skola,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.92754189999999,24.3216098,9G86W8HC+2J,"W8HC+2J Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=1134407649871678382,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.144618
ChIJvfIbxT7N7kYROYiXkGrthGQ,Skola,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.9275169,24.3220857,9G86W8HC+2R,"W8HC+2R Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",,,,,,https://maps.google.com/?cid=7243175142666766393,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.303943
ChIJqZTivgjN7kYRHBuij6gSrEQ,Ulbroka,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Ulbroka, Stopiņu pagasts, Ropaži Municipality, LV-2130, Latvia",Ulbroka,56.94052,24.2921,9G86W7RR+6R,"W7RR+6R Ulbroka, Stopiņu pagasts, Ropaži Municipality, Latvia",4.7,10.0,,,,https://maps.google.com/?cid=4948350605746903836,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.475399
ChIJ0VEczpDc7kYRrHJLtyOJiSU,Egļuciems,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9636801,23.8606393,9G85XV76+F7,"XV76+F7 Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",,,,,,https://maps.google.com/?cid=2704843837704729260,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.674122
ChIJmZtw15Dc7kYRuEZ2NR4LtMg,Egļuciems,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Jūrmala, LV-2010, Latvia",Jūrmala,56.9636203,23.8596291,9G85XV75+CV,"XV75+CV Jūrmala, Jūrmala pilsēta, Jūrmala, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=14462196527767373496,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.830115
ChIJg2bM2Bnb7kYRUtyjHRxj5Ys,Priežciems,transport_hubs,"bus_station,establishment,point_of_interest,transit_station",OPERATIONAL,"Priežciems, Babīte parish, Mārupe Municipality, LV-2101, Latvia",Priežciems,56.95071,23.93612,9G85XW2P+7C,"XW2P+7C Priežciems, Babīte parish, Latvia",5.0,1.0,,,,https://maps.google.com/?cid=10080572313346235474,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bus-71.png,,2025-10-26T12:20:41.989868
