place_id,name,category,google_types,business_status,formatted_address,vicinity,latitude,longitude,plus_code_global,plus_code_compound,rating,user_ratings_total,website,formatted_phone_number,international_phone_number,google_maps_url,wheelchair_accessible,editorial_summary,icon_url,opening_hours_available,collected_at
ChIJCekYnwbR7kYR4zdqG1P5Eyo,Rīgas Aeronavigācijas institūts,universities,"establishment,point_of_interest,university",OPERATIONAL,"Mežkalna iela 9, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia","Mežkalna iela 9, Zemgales priekšpilsēta, Rīga",56.8950354,24.0840791,9G86V3WM+2J,"V3WM+2J Riga, Rīgas pilsēta, Riga, Latvia",4.8,25.0,http://www.rai.lv/,29 571 158,+371 29 571 158,https://maps.google.com/?cid=3032041109488023523,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,False,2025-10-26T12:16:30.046170
ChIJs0quY6LR7kYRUZdWJ7LOet0,"Krustkalni, rauna",universities,"establishment,point_of_interest,university",OPERATIONAL,"Krustkalni, raunas pagasts, Ķekava Municipality, LV-2111, Latvia",Krustkalni,56.893745,24.1325979,9G86V4VM+F2,"V4VM+F2 Krustkalni, Ķekava Parish, Ķekava Municipality, Latvia",,,,26 485 051,+371 26 485 051,https://maps.google.com/?cid=15959295494100260689,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:30.401878
ChIJnw6MGqMt6UYRStIcQ_G05cQ,Бункер рту,universities,"establishment,point_of_interest,university",OPERATIONAL,"Miera iela 34, Salaspils, Salaspils pilsēta, Salaspils novads, LV-2169, Latvia","Miera iela 34, Salaspils",56.8680681,24.3979609,9G86V99X+65,"V99X+65 Salaspils, Salaspils pilsēta, Salaspils Municipality, Latvia",3.0,3.0,,,,https://maps.google.com/?cid=14187945149406696010,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:30.582363
ChIJoXld8FLQ7kYRqj1MObtUjtk,Turība University,universities,"establishment,point_of_interest,university",OPERATIONAL,"Graudu iela 68, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia","Graudu iela 68, Zemgales priekšpilsēta, Rīga",56.9108831,24.0796997,9G86W36H+9V,"W36H+9V Riga, Rīgas pilsēta, Riga, Latvia",4.3,348.0,http://www.turiba.lv/,67 622 551,+371 67 622 551,https://maps.google.com/?cid=15676560516020190634,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,False,2025-10-26T12:16:30.750241
ChIJXXDlUlLQ7kYRRJXabZ7ns0o,International College of Cosmetology,universities,"establishment,point_of_interest,university",OPERATIONAL,"Graudu iela 68, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia","Graudu iela 68, Zemgales priekšpilsēta, Rīga",56.9107433,24.0797032,9G86W36H+7V,"W36H+7V Riga, Rīgas pilsēta, Riga, Latvia",4.1,11.0,,26 378 425,+371 26 378 425,https://maps.google.com/?cid=5382900647271765316,True,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,False,2025-10-26T12:16:30.946089
ChIJXXDlUlLQ7kYRJUKPZaA9Zh8,Privato augstskolu asociacija,universities,"establishment,point_of_interest,university",OPERATIONAL,"Graudu iela 68, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia","Graudu iela 68, Zemgales priekšpilsēta, Rīga",56.9107433,24.0797032,9G86W36H+7V,"W36H+7V Riga, Rīgas pilsēta, Riga, Latvia",,,http://www.augstskolas.lv/,67 622 551,+371 67 622 551,https://maps.google.com/?cid=2262563621908202021,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:31.106317
ChIJZ68DJj7Q7kYRb6CoQUF1s1U,"Iekšķīgo slimību katedra, Propedeitikas kursa bāze",universities,"establishment,point_of_interest,university",OPERATIONAL,"21. Korpuss, 3. stāvs, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga, LV-1002, Latvia","21. Korpuss, 3. stāvs, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga",56.9321025,24.0650999,9G86W3J8+R2,"W3J8+R2 Riga, Rīgas pilsēta, Riga, Latvia",2.5,2.0,http://www.rsu.lv/,67 069 591,+371 67 069 591,https://maps.google.com/?cid=6175408437189976175,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:31.279859
ChIJ5Q3PbD7Q7kYRpsIzVssiwYA,"Rigas Stradina universitate, Transplantologijas laboratorija",universities,"establishment,point_of_interest,university",OPERATIONAL,"Latvijas Universitāte - Kardioloģijas institūts, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga, LV-1002, Latvia","University of Latvia - Institute of Cardiology, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga",56.93262259999999,24.0676736,9G86W3M9+23,"W3M9+23 Riga, Rīgas pilsēta, Riga, Latvia",4.8,6.0,,67 069 543,+371 67 069 543,https://maps.google.com/?cid=9277734964079870630,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:31.465504
ChIJQ2xcC8zR7kYRDsfTxElYXXY,Onkoloģijas institūts,universities,"establishment,point_of_interest,university",OPERATIONAL,"Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga, LV-1002, Latvia","Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga",56.93080269999999,24.0660445,9G86W3J8+8C,"W3J8+8C Riga, Rīgas pilsēta, Riga, Latvia",,,,,,https://maps.google.com/?cid=8529070343167657742,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:31.622620
ChIJ5Q3PbD7Q7kYRHbAVYrskIVc,"Rigas Stradina universitate, Parmantota veza instituts",universities,"establishment,point_of_interest,university",OPERATIONAL,"Latvijas Universitāte - Kardioloģijas institūts, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga, LV-1002, Latvia","University of Latvia - Institute of Cardiology, Pilsoņu iela 13, Zemgales priekšpilsēta, Rīga",56.93262259999999,24.0676736,9G86W3M9+23,"W3M9+23 Riga, Rīgas pilsēta, Riga, Latvia",,,,67 069 974,+371 67 069 974,https://maps.google.com/?cid=6278339742754254877,,,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,2025-10-26T12:16:31.824525
